Date,Provider,Num,Rate
2026-03-23,PixU2cpay,25733,100.00
2026-03-23,PixUnivepay,6371,100.89
2026-03-23,PixGogo2pay,4882,100.92
2026-03-23,Pix4zpay,3396,100.02
2026-03-23,PixBestpay,2364,100.00
2026-03-23,PixBcpay,1004,100.00
2026-03-23,PixNewCbpay,994,99.89
2026-03-23,PixSitobankpay,646,103.72
2026-03-23,PixTransafepay,601,99.83
2026-03-23,PixSqpay,298,100.33
2026-03-23,PixFuyingpay,125,100.00
2026-03-23,PixGlobalpay,113,100.00
2026-03-23,PixNewcashpay,70,101.42
2026-03-23,PixEpay2,35,100.00
2026-03-23,PixUupay,10,100.00
2026-03-23,PixCepay,1,100.00
2026-03-23,PixNewwinpay,1,100.00
2026-03-24,PixU2cpay,27481,100.00
2026-03-24,PixUnivepay,6028,100.89
2026-03-24,PixGogo2pay,5863,101.51
2026-03-24,Pix4zpay,2860,99.96
2026-03-24,PixBestpay,2780,100.00
2026-03-24,PixTransafepay,2324,100.04
2026-03-24,PixNewCbpay,816,100.12
2026-03-24,PixBcpay,621,100.00
2026-03-24,PixSqpay,392,100.25
2026-03-24,PixSitobankpay,226,108.88
2026-03-24,PixGlobalpay,223,100.00
2026-03-24,PixFuyingpay,108,100.00
2026-03-24,PixNewcashpay,59,100.00
2026-03-24,PixEpay2,23,100.00
2026-03-24,PixUupay,16,100.00
2026-03-24,PixUaupay,14,100.00
2026-03-24,PixCepay,2,100.00
2026-03-24,PixNewwinpay,1,100.00
2026-03-25,PixU2cpay,26110,100.01
2026-03-25,PixUnivepay,6624,100.90
2026-03-25,PixGogo2pay,4653,100.83
2026-03-25,Pix4zpay,3426,99.97
2026-03-25,PixBestpay,2756,100.00
2026-03-25,PixBcpay,729,100.00
2026-03-25,PixNewCbpay,716,100.00
2026-03-25,PixTransafepay,706,100.00
2026-03-25,PixSqpay,503,100.00
2026-03-25,PixUaupay,422,100.00
2026-03-25,PixSitobankpay,285,102.83
2026-03-25,PixFuyingpay,102,100.00
2026-03-25,PixNewcashpay,71,104.34
2026-03-25,PixGlobalpay,17,100.00
2026-03-25,PixUupay,13,100.00
2026-03-25,PixEpay2,4,100.00
2026-03-25,PixCepay,1,100.00
2026-03-25,PixNewwinpay,1,100.00
2026-03-26,PixU2cpay,25792,100.01
2026-03-26,PixUnivepay,6494,101.49
2026-03-26,PixGogo2pay,5127,101.17
2026-03-26,PixBestpay,2453,100.00
2026-03-26,Pix4zpay,2381,100.00
2026-03-26,PixUaupay,1612,100.00
2026-03-26,PixNewCbpay,639,100.00
2026-03-26,PixSitobankpay,532,104.90
2026-03-26,PixBcpay,528,100.00
2026-03-26,PixSqpay,274,100.00
2026-03-26,PixKubaopay,172,100.00
2026-03-26,PixFuyingpay,93,97.84
2026-03-26,PixNewcashpay,89,100.00
2026-03-26,PixTransafepay,54,100.00
2026-03-26,PixEpay2,17,100.00
2026-03-26,PixUupay,17,100.00
2026-03-26,PixGlobalpay,13,
2026-03-26,PixNewwinpay,7,100.00
2026-03-26,PixCepay,1,100.00
2026-03-27,PixU2cpay,26080,100.00
2026-03-27,PixUnivepay,6345,100.92
2026-03-27,PixGogo2pay,4921,101.58
2026-03-27,Pix4zpay,2690,100.07
2026-03-27,PixBestpay,2309,100.00
2026-03-27,PixUaupay,1105,100.18
2026-03-27,PixNewCbpay,772,100.00
2026-03-27,PixSitobankpay,596,104.07
2026-03-27,PixBcpay,454,99.77
2026-03-27,PixSqpay,257,100.77
2026-03-27,PixNewcashpay,133,101.66
2026-03-27,PixFuyingpay,85,102.35
2026-03-27,PixWanlihuipay,57,100.00
2026-03-27,PixNewwinpay,28,100.00
2026-03-27,PixEpay2,27,100.00
2026-03-27,PixUupay,23,100.00
2026-03-27,PixKubaopay,15,100.00
2026-03-27,PixGlobalpay,14,100.00
2026-03-27,PixCepay,1,100.00
2026-03-28,PixU2cpay,30460,100.02
2026-03-28,PixGogo2pay,5578,101.38
2026-03-28,PixUnivepay,5423,101.23
2026-03-28,Pix4zpay,3748,100.00
2026-03-28,PixBestpay,2825,100.03
2026-03-28,PixNewCbpay,968,100.00
2026-03-28,PixSitobankpay,863,100.69
2026-03-28,PixBcpay,596,100.16
2026-03-28,PixWanlihuipay,517,100.00
2026-03-28,PixSqpay,298,100.33
2026-03-28,PixNewcashpay,140,100.00
2026-03-28,PixFuyingpay,122,100.00
2026-03-28,PixUupay,54,100.00
2026-03-28,PixEpay2,42,100.00
2026-03-28,PixGlobalpay,32,100.00
2026-03-28,PixCepay,1,100.00
2026-03-28,PixNewwinpay,1,100.00
2026-03-29,PixU2cpay,28040,99.99
2026-03-29,PixUnivepay,7579,100.89
2026-03-29,PixGogo2pay,5181,101.52
2026-03-29,Pix4zpay,3163,100.00
2026-03-29,PixBestpay,2552,100.00
2026-03-29,PixNewCbpay,1213,100.00
2026-03-29,PixBcpay,658,100.00
2026-03-29,PixSitobankpay,648,103.87
2026-03-29,PixWanlihuipay,578,100.00
2026-03-29,PixTransafepay,534,100.00
2026-03-29,PixGlobalpay,277,100.00
2026-03-29,PixSqpay,271,100.00
2026-03-29,PixNewcashpay,188,100.00
2026-03-29,PixFuyingpay,173,97.68
2026-03-29,PixWaterpay,59,108.47
2026-03-29,PixUupay,10,100.00
2026-03-29,PixEpay2,8,100.00
2026-03-29,PixNewwinpay,2,100.00
2026-03-29,PixCepay,1,100.00
2026-03-30,PixU2cpay,27729,100.03
2026-03-30,PixUnivepay,6121,102.12
2026-03-30,PixGogo2pay,4905,100.63
2026-03-30,Pix4zpay,4362,100.04
2026-03-30,PixBestpay,2427,100.00
2026-03-30,PixBcpay,939,100.00
2026-03-30,PixNewCbpay,537,100.00
2026-03-30,PixTransafepay,502,100.00
2026-03-30,PixWanlihuipay,304,100.32
2026-03-30,PixSqpay,231,100.43
2026-03-30,PixNewcashpay,182,100.00
2026-03-30,PixFuyingpay,174,102.29
2026-03-30,PixGlobalpay,142,100.00
2026-03-30,PixSitobankpay,11,154.54
2026-03-30,PixUupay,9,100.00
2026-03-30,PixEpay2,7,100.00
2026-03-30,PixWodipay,3,100.00
2026-03-30,PixCepay,1,100.00
2026-03-30,PixNewwinpay,1,100.00
2026-03-31,PixU2cpay,30056,99.99
2026-03-31,PixUnivepay,6966,102.49
2026-03-31,PixGogo2pay,5517,101.10
2026-03-31,Pix4zpay,3719,99.97
